"","ContractRef","InterestType","MortgageType","NewLoan","ProbationaryLoans","DefaultedLoans","LTVCategory","CreditRating","MortgageYears","CreditRatingMovement","LTV","LoanBalance","InterestIncome","PropertyValue","AnnualPYMT","AddressLatitude","AddressLongitude","InArrears","County","ArrearsCategory","Town","Branch","MaturityDate","BookingDate","LastValuationDate","ValuationAgeYears","prediction","lr_score","DT_score.No","DT_score.Yes"
"13","00000CONTR00124763","Fixed","Owner Occupied","No","No","Yes","70 to 80%",3,31, 0,0.79000000, 7.820432e-01, 8065.748432, 5.846513e-01, 0.6099121791,52.27606, -8.001052,"No","Tipperary","0","Clogheen","Branch 187","28/01/2045","05/02/2014","20/04/2014",3.72,0.8061535,0.8061535,0.35536398,0.64463602
"14","00000CONTR00046436","Tracker","Buy to Let","No","No","Yes","90 to 100%",4,35, 3,0.97340056,-6.699479e-01, 1321.748134,-1.312247e+00,-1.3978345502,53.29238, -6.152962,"No","Dublin","0","Monkstown","Branch 249","29/04/2049","08/05/2014","08/05/2014",3.65,0.8912161,0.8912161,0.63734568,0.36265432
"15","00000CONTR00167139","Tracker","Owner Occupied","No","No","Yes","10 to 20%",4,32, 0,0.11767668,-1.502273e+00,   88.767081,-7.602931e-01,-0.7829901711,51.84666, -8.334739,"No","Cork","0","Monkstown","Branch 112","16/07/2026","24/07/1994","02/11/2016",0.22,0.6777733,0.6777733,0.45381526,0.54618474
"16","00000CONTR00144902","Tracker","Buy to Let","No","Yes","Yes","60 to 70%",4,30, 1,0.64000000,-4.194181e-01, 3577.879970,-4.548494e-01,-0.3694184545,53.53594, -6.964521,"Yes","Meath","< 6 months","Ballivor","Branch 80","10/08/2035","17/08/2005","19/11/2014",2.92,0.5749114,0.5749114,0.64338235,0.35661765
"17","00000CONTR00198038","Tracker","Buy to Let","No","No","Yes","10 to 20%",3,35, 0,0.14121202,-1.538063e+00,  290.098376,-1.243345e+00,-1.3367780031,53.29829, -6.246233,"No","Dublin","0","Churchtown Lower","Branch 60","07/08/2022","16/08/1987","22/04/2014",3.71,0.8200047,0.8200047,0.43593750,0.56406250
"18","00000CONTR00185161","Variable","Owner Occupied","No","No","Yes","90 to 100%",4,28, 0,0.94141345, 1.398380e+00, 6323.238038, 7.210662e-01, 1.0674281074,53.83088, -7.061701,"No","Cavan","0","Virginia","Branch 128","09/10/2036","16/10/2008","09/09/2013",4.56,0.7286830,0.7286830,0.30952381,0.69047619
"19","00000CONTR00137450","Tracker","Owner Occupied","No","No","Yes","90 to 100%",2,33, 0,0.96299985,-6.141821e-01,  901.646905,-1.249130e+00,-1.2868711582,51.89428, -9.579568,"No","Kerry","0","Kenmare","Branch 126","01/08/2039","09/08/2006","09/01/2016",1.35,0.9243396,0.9243396,0.04722274,0.95277726
"20","00000CONTR00132001","Tracker","Owner Occupied","No","No","Yes","90 to 100%",3,32, 0,0.92964578, 8.122548e-02,    0.000000,-5.312001e-01,-0.5609512660,51.89398, -9.581301,"No","Kerry","0","Kenmare","Branch 47","05/04/2041","13/04/2009","26/04/2015",2.32,0.8604060,0.8604060,0.35536398,0.64463602
"21","00000CONTR00187365","Tracker","Owner Occupied","No","No","Yes","90 to 100%",4,31, 0,0.91787811, 3.794457e-02, 3938.803144,-5.517963e-01,-0.5270734527,54.08863, -6.261069,"No","Louth","0","Knocknagoran","Branch 8","24/08/2046","01/09/2015","10/12/2016",0.08,0.7327209,0.7327209,0.63734568,0.36265432
"22","00000CONTR00175505","Variable","Owner Occupied","Yes","No","Yes","70 to 80%",2,30, 0,0.71000000, 1.470792e+00, 3834.737907, 1.790086e+00, 1.9514466956,53.26882, -7.475389,"No","Offaly","0","Tullamore","Branch 96","18/04/2046","25/04/2016","25/04/2016",0.94,0.7637236,0.7637236,0.04722274,0.95277726
"23","00000CONTR00175809","Fixed","Buy to Let","No","No","Yes","70 to 80%",2,35, 0,0.77000000, 1.360925e+00, 9948.523406, 1.343486e+00, 0.9555002837,53.26864, -7.475592,"No","Offaly","0","Tullamore","Branch 96","29/10/2048","07/11/2013","27/01/2015",2.66,0.9053320,0.9053320,0.04722274,0.95277726
"24","00000CONTR00221230","Tracker","Owner Occupied","No","No","Yes","70 to 80%",3,33, 0,0.78000000, 8.661080e-01, 7369.493443, 7.194397e-01, 0.5632666210,51.70768, -8.536808,"No","Cork","0","Cionn tS<e1>ile","Branch 208","25/04/2041","03/05/2008","06/10/2013",4.46,0.7873992,0.7873992,0.35536398,0.64463602
"25","00000CONTR00029936","Tracker","Owner Occupied","No","No","Yes","70 to 80%",2,28, 0,0.70000000, 1.639338e+00, 3786.293744, 2.067398e+00, 2.5587151937,54.00140, -6.423572,"No","Louth","0","Dundalk","Branch 71","15/07/2040","22/07/2012","27/05/2015",2.20,0.7740763,0.7740763,0.04722274,0.95277726
"26","00000CONTR00003713","Tracker","Owner Occupied","No","No","Yes","90 to 100%",2,33, 0,0.94141345, 8.497094e-02,  943.952919,-5.493604e-01,-0.6292007528,52.63675, -8.676137,"No","Limerick","0","Skehacreggaun","Branch 124","09/04/2039","17/04/2006","05/10/2014",3.09,0.8642495,0.8642495,0.04722274,0.95277726
"27","00000CONTR00052076","Tracker","Buy to Let","No","No","Yes","60 to 70%",3,34, 0,0.63000000, 1.580659e+00, 1983.849831, 2.464945e+00, 2.0727682088,52.63560, -8.675845,"No","Limerick","0","Skehacreggaun","Branch 225","05/06/2042","13/06/2008","09/03/2014",3.88,0.8445958,0.8445958,1.00000000,0.00000000
"28","00000CONTR00108263","Tracker","Owner Occupied","No","No","Yes","60 to 70%",2,28, 0,0.62000000, 1.058791e+00,  208.508208, 1.774900e+00, 2.2347253773,52.80795, -8.451421,"Yes","Clare","< 90 days","Killaloe","Branch 246","15/05/2035","22/05/2007","15/02/2015",2.58,0.8297355,0.8297355,0.04722274,0.95277726
"29","00000CONTR00091118","Tracker","Owner Occupied","No","No","Yes","90 to 100%",2,35, 0,0.91787811, 1.314315e+00, 1822.684067, 7.144604e-01, 0.3980991748,51.86687, -8.486671,"No","Cork","0","Coolkellure","Branch 90","01/10/2046","10/10/2011","23/08/2016",0.49,0.8245076,0.8245076,0.04722274,0.95277726
"30","00000CONTR00227265","Variable","Owner Occupied","Yes","No","Yes","90 to 100%",3,30, 0,0.97340056,-2.146661e-01, 2243.729626,-8.863363e-01,-0.8154993395,51.86659, -8.487173,"No","Cork","0","Lehenagh Beg","Branch 245","01/12/2046","08/12/2016","08/12/2016",0.09,0.7957347,0.7957347,0.35536398,0.64463602
"31","00000CONTR00190661","Fixed","Buy to Let","No","No","Yes","60 to 70%",4,30, 2,0.69000000,-1.847024e-01, 5150.379369,-2.769032e-01,-0.1854535806,51.86668, -8.487129,"No","Cork","0","Coolkellure","Branch 9","12/09/2035","19/09/2005","08/06/2016",0.78,0.8450642,0.8450642,0.41666667,0.58333333
"32","00000CONTR00094309","Tracker","Owner Occupied","No","No","Yes","90 to 100%",2,31, 0,0.92964578, 2.789027e-01,  598.076079,-3.375717e-01,-0.3127474042,53.35502, -6.458939,"No","Dublin","0","Lucan","Branch 202","13/04/2040","21/04/2009","07/03/2014",3.89,0.8596515,0.8596515,0.04722274,0.95277726
"33","00000CONTR00038189","Tracker","Buy to Let","No","No","Yes","60 to 70%",4,34, 1,0.66000000, 1.315980e+00, 8662.533926, 1.884365e+00, 1.5431658534,51.86310, -8.451868,"No","Cork","0","Grange","Branch 9","13/07/2039","21/07/2005","25/06/2013",4.85,0.8139478,0.8139478,0.64338235,0.35661765
"34","00000CONTR00214975","Variable","Owner Occupied","No","No","Yes","30 to 40%",4,35, 0,0.30396170,-9.712496e-01, 2198.401755,-9.705668e-02,-0.3210133809,53.59710, -6.175232,"No","Dublin","0","Balbriggan","Branch 85","03/04/2037","12/04/2002","08/04/2013",5.14,0.6924751,0.6924751,0.63734568,0.36265432
"35","00000CONTR00091968","Fixed","Owner Occupied","No","No","Yes","30 to 40%",2,32, 0,0.38833305,-8.763645e-01, 3231.121755,-3.475032e-01,-0.3829106879,53.92566, -7.414577,"No","Cavan","0","Garrymore","Branch 171","31/07/2031","08/08/1999","02/09/2014",3.21,0.8718480,0.8718480,0.04722274,0.95277726
"36","00000CONTR00189486","Variable","Owner Occupied","No","No","Yes","0 to 10%",2,28,-1,0.02353534,-1.655421e+00,   99.532451,-6.314792e-01,-0.4307418723,53.69601, -6.261668,"Yes","Meath","< 90 days","Bettystown","Branch 80","05/06/2019","12/06/1991","21/05/2015",2.23,0.8066186,0.8066186,0.04722274,0.95277726
"37","00000CONTR00173558","Tracker","Owner Occupied","No","No","Yes","70 to 80%",4,32, 0,0.76602272,-1.426700e-01, 3176.067278,-4.251218e-01,-0.4581392863,53.27740, -9.102929,"No","Galway","0","Mincloon","Branch 181","20/03/2046","28/03/2014","13/01/2016",1.33,0.7692106,0.7692106,0.63734568,0.36265432
"38","00000CONTR00088694","Fixed","Owner Occupied","No","No","Yes","20 to 30%",3,35, 0,0.23313735,-1.276713e+00, 1592.771031,-6.288719e-01,-0.7922727714,53.35893, -6.240092,"No","Dublin","0","North Dock","Branch 234","17/06/2033","26/06/1998","27/03/2013",5.19,0.7410873,0.7410873,0.38771930,0.61228070
"39","00000CONTR00082851","Variable","Owner Occupied","No","No","Yes","> 100%",2,30, 0,1.00025179, 1.782914e+00, 1053.117542, 8.949649e-01, 1.0260500792,52.07079, -9.513141,"No","Kerry","0","Killarney","Branch 126","11/11/2040","19/11/2010","24/06/2013",4.85,0.8278028,0.8278028,0.04722274,0.95277726
"40","00000CONTR00133729","Tracker","Owner Occupied","No","No","Yes","30 to 40%",2,28, 0,0.34126238,-9.546031e-01,    0.000000,-2.905667e-01,-0.0531243161,54.80777, -7.777840,"No","Donegal","0","Drumboe","Branch 58","07/12/2031","14/12/2003","24/12/2013",4.16,0.8705767,0.8705767,0.04722274,0.95277726
"41","00000CONTR00183346","Tracker","Owner Occupied","Yes","No","Yes","70 to 80%",2,31, 0,0.73000000, 6.326408e-01, 2820.400877, 6.332320e-01, 0.6585158760,52.66830, -7.233036,"No","Kilkenny","0","Neworchard","Branch 35","01/06/2047","08/06/2016","08/06/2016",0.78,0.8186657,0.8186657,0.04722274,0.95277726
"42","00000CONTR00007219","Variable","Owner Occupied","No","No","Yes","70 to 80%",2,32, 0,0.72000000, 9.622416e-01, 3018.080760, 1.090464e+00, 1.0107794313,54.85914, -7.664168,"No","Donegal","0","Convoy","Branch 118","10/08/2043","18/08/2011","19/12/2016",0.05,0.8525940,0.8525940,0.04722274,0.95277726
"43","00000CONTR00226045","Variable","Buy to Let","No","No","Yes","70 to 80%",3,33,-1,0.72000000, 1.571920e+00, 5688.364541, 1.861541e+00, 1.6366581029,54.85898, -7.664367,"No","Donegal","0","Convoy","Branch 135","24/10/2044","02/11/2011","13/11/2016",0.18,0.8705588,0.8705588,0.36170213,0.63829787
"44","00000CONTR00085738","Tracker","Owner Occupied","Yes","No","Yes","90 to 100%",2,34, 0,0.90611044, 9.510052e-01,  400.710973, 3.881577e-01, 0.1783307969,51.87581, -8.675482,"No","Cork","0","Ovens","Branch 52","17/09/2050","25/09/2016","25/09/2016",0.37,0.7720599,0.7720599,0.04722274,0.95277726
"45","00000CONTR00040044","Tracker","Buy to Let","No","No","Yes","40 to 50%",2,29, 0,0.40010071,-1.073626e+00, 1038.763716,-8.531148e-01,-0.7305061063,53.47438, -6.236027,"No","Dublin","0","Swords","Branch 13","14/05/2026","21/05/1997","17/12/2013",4.19,0.9013755,0.9013755,0.04722274,0.95277726
"46","00000CONTR00185015","Fixed","Owner Occupied","No","No","Yes","90 to 100%",4,33, 0,0.91322774,-3.382664e-01, 5039.042786,-9.181576e-01,-0.9758106514,53.17014, -6.540880,"No","Wicklow","0","Blessington","Branch 147","02/09/2047","10/09/2014","10/09/2014",3.18,0.7753454,0.7753454,0.63734568,0.36265432
"47","00000CONTR00098923","Tracker","Owner Occupied","No","No","Yes","60 to 70%",3,29, 2,0.63000000, 5.910246e-01, 2943.163862, 1.034522e+00, 1.2882680690,53.25270, -6.117313,"No","Dublin","0","Killiney","Branch 230","03/01/2036","10/01/2007","03/11/2016",0.22,0.7671368,0.7671368,0.43593750,0.56406250
"48","00000CONTR00036953","Tracker","Owner Occupied","No","No","Yes","60 to 70%",2,32,-1,0.61000000,-9.980523e-02, 3263.606729, 1.117263e-01, 0.0621785539,51.85214, -8.304874,"No","Cork","0","Cobh","Branch 112","16/02/2037","24/02/2005","23/09/2014",3.13,0.8562921,0.8562921,0.04722274,0.95277726
"49","00000CONTR00226053","Tracker","Owner Occupied","No","No","Yes","90 to 100%",4,34, 0,0.90611044, 1.034238e+00, 3306.416385, 4.718031e-01, 0.2546317891,53.44524, -6.174816,"No","Dublin","0","Malahide","Branch 25","03/06/2044","12/06/2010","05/02/2014",4.00,0.6697058,0.6697058,0.63734568,0.36265432
"50","00000CONTR00102353","Tracker","Buy to Let","No","Yes","Yes","70 to 80%",4,35, 1,0.71000000, 1.431257e+00,  473.361477, 1.739380e+00, 1.3063152378,53.42949, -7.938732,"No","Westmeath","0","Athlone","Branch 200","30/08/2045","08/09/2010","05/10/2013",4.46,0.5156264,0.5156264,0.45381526,0.54618474
"51","00000CONTR00218405","Tracker","Owner Occupied","No","No","Yes","60 to 70%",3,29,-2,0.60000000, 9.389365e-01, 2991.639502, 1.727958e+00, 2.0298782150,52.85263, -6.331216,"No","Wicklow","0","Aughrim","Branch 34","07/08/2036","15/08/2007","22/02/2014",3.94,0.7829387,0.7829387,0.32394366,0.67605634
"52","00000CONTR00069188","Variable","Owner Occupied","No","No","Yes","30 to 40%",2,30, 0,0.37656538,-1.178499e+00,  667.830636,-1.017921e+00,-0.9515342942,53.39409, -6.675048,"No","Kildare","0","Kilcock","Branch 180","04/09/2030","11/09/2000","22/01/2015",2.68,0.8298088,0.8298088,0.04722274,0.95277726
"53","00000CONTR00068609","Tracker","Owner Occupied","No","No","Yes","20 to 30%",2,32, 0,0.27065637,-1.230935e+00,  529.769495,-7.028869e-01,-0.7273516124,53.39465, -6.674678,"No","Kildare","0","Kilcock","Branch 94","07/06/2030","15/06/1998","11/10/2016",0.31,0.8213338,0.8213338,0.04722274,0.95277726
"54","00000CONTR00067076","Variable","Owner Occupied","No","No","Yes","60 to 70%",3,33, 0,0.65000000, 1.034654e+00, 5580.427548, 1.554220e+00, 1.3478252699,53.39466, -6.186106,"No","Dublin","0","Donaghmede","Branch 56","12/06/2039","20/06/2006","20/09/2014",3.14,0.7530094,0.7530094,0.43593750,0.56406250
"55","00000CONTR00235138","Variable","Buy to Let","No","No","Yes","60 to 70%",4,29, 0,0.65000000, 4.878163e-01, 1487.887373, 7.881383e-01, 1.0247674479,53.59433, -6.726764,"No","Meath","0","Balbradagh","Branch 201","27/01/2037","04/02/2008","08/02/2016",1.23,0.8368120,0.8368120,0.64338235,0.35661765
"56","00000CONTR00238445","Tracker","Owner Occupied","No","No","Yes","70 to 80%",3,34, 0,0.77000000,-1.990202e-02,    0.000000,-2.894852e-01,-0.4398126188,52.26906, -8.270613,"No","Cork","0","Mitchelstown","Branch 198","10/12/2042","18/12/2008","09/08/2013",4.68,0.7913587,0.7913587,0.35536398,0.64463602
"57","00000CONTR00011217","Tracker","Buy to Let","No","No","Yes","20 to 30%",2,35, 0,0.29419170,-1.330814e+00,  971.716240,-1.137718e+00,-1.2431780501,53.79448, -9.504930,"No","Mayo","0","Westport","Branch 170","06/09/2030","15/09/1995","08/10/2013",4.45,0.9189794,0.9189794,0.04722274,0.95277726
"58","00000CONTR00216565","Fixed","Owner Occupied","No","No","Yes","60 to 70%",3,28,-2,0.66000000,-8.501463e-01, 3334.242662,-1.104248e+00,-0.9544128166,52.27335, -8.272384,"No","Cork","0","Mitchelstown","Branch 12","25/10/2034","01/11/2006","12/09/2013",4.55,0.7994776,0.7994776,0.35536398,0.64463602
"59","00000CONTR00217497","Variable","Buy to Let","No","No","Yes","90 to 100%",4,29, 0,0.90611044, 1.515569e-01, 6574.681812,-4.152560e-01,-0.2622285002,53.23460, -7.320849,"No","Offaly","0","Geashill","Branch 96","19/02/2044","26/02/2015","22/04/2016",0.95,0.8815201,0.8815201,0.17857143,0.82142857
"60","00000CONTR00195497","Fixed","Owner Occupied","No","No","Yes","0 to 10%",3,34, 0,0.02353534,-1.656669e+00,  146.465684,-6.797844e-01,-0.7958421199,54.94666, -7.754638,"Yes","Donegal","< 90 days","Sallaghagrane","Branch 179","27/09/2019","05/10/1985","19/11/2013",4.29,0.7468190,0.7468190,0.35536398,0.64463602
"61","00000CONTR00092823","Variable","Owner Occupied","Yes","No","Yes","70 to 80%",2,35, 0,0.78000000, 1.186137e+00, 2617.684564, 1.093055e+00, 0.7335846145,53.27117, -9.116767,"No","Galway","0","Galway","Branch 156","06/09/2051","14/09/2016","14/09/2016",0.41,0.7676010,0.7676010,0.04722274,0.95277726
"62","00000CONTR00100380","Variable","Owner Occupied","No","No","Yes","90 to 100%",2,28, 0,0.91787811, 4.012545e-01, 7462.352624,-1.913652e-01, 0.0567578828,52.68123, -6.220148,"Yes","Wexford","< 90 days","Ballymoney Lower","Branch 224","11/01/2040","18/01/2012","08/08/2016",0.55,0.8549724,0.8549724,0.04722274,0.95277726
"63","00000CONTR00017389","Variable","Owner Occupied","No","No","Yes","60 to 70%",2,31, 0,0.60000000, 6.884066e-01, 9927.118578, 1.347735e+00, 1.3733575031,53.31722, -6.333600,"No","Dublin","0","Dublin","Branch 50","10/03/2037","18/03/2006","18/07/2014",3.38,0.8339401,0.8339401,0.04722274,0.95277726
"64","00000CONTR00180888","Variable","Buy to Let","No","Yes","Yes","60 to 70%",4,34, 2,0.63000000, 9.938699e-01, 5904.332961, 1.616797e+00, 1.2990908484,52.14486, -9.715572,"No","Kerry","0","Milltown","Branch 244","28/07/2042","05/08/2008","17/10/2013",4.42,0.5660422,0.5660422,0.65254237,0.34745763
"65","00000CONTR00081777","Variable","Owner Occupied","No","No","Yes","20 to 30%",3,28, 0,0.20005036,-1.426948e+00,   61.475925,-1.040653e+00,-0.8839697654,53.35611, -6.418278,"No","Dublin","0","Lucan","Branch 111","15/07/2025","22/07/1997","18/06/2014",3.50,0.7364073,0.7364073,0.38771930,0.61228070
"66","00000CONTR00093482","Tracker","Buy to Let","No","No","Yes","30 to 40%",2,28, 0,0.35000000,-8.488978e-01, 1541.147622,-6.506236e-02, 0.1966593999,52.26381, -7.097618,"No","Kilkenny","0","Waterford","Branch 35","15/08/2026","22/08/1998","17/10/2014",3.04,0.9455538,0.9455538,0.04722274,0.95277726
"67","00000CONTR00150581","Variable","Buy to Let","No","No","Yes","10 to 20%",4,32, 1,0.14121202,-1.440681e+00,   97.266057,-6.153775e-01,-0.6425367356,53.39097, -6.444650,"No","Dublin","0","Hansfield","Branch 17","26/11/2017","04/12/1985","12/06/2015",2.14,0.7975798,0.7975798,0.63734568,0.36265432
"68","00000CONTR00056492","Tracker","Owner Occupied","No","No","Yes","10 to 20%",2,31, 0,0.17651502,-1.262980e+00,  624.989502,-3.034790e-02,-0.0053781992,53.39095, -6.444522,"No","Dublin","0","Hansfield","Branch 1","08/09/2020","16/09/1989","06/05/2014",3.66,0.8397151,0.8397151,0.04722274,0.95277726
"69","00000CONTR00050033","Tracker","Owner Occupied","No","No","Yes","40 to 50%",2,32, 0,0.44717139,-8.763645e-01,  124.273914,-6.009707e-01,-0.6285735286,53.76745, -8.485252,"No","Roscommon","0","Castlerea","Branch 144","16/05/2029","24/05/1997","04/07/2015",2.06,0.8525649,0.8525649,0.04722274,0.95277726
"70","00000CONTR00183782","Variable","Buy to Let","No","No","Yes","90 to 100%",4,31, 0,0.98250740,-3.253653e-01, 1764.828076,-1.001795e+00,-0.9772854195,53.32501, -6.413080,"No","Dublin","0","Lucan","Branch 48","10/11/2037","18/11/2006","05/05/2016",0.91,0.8846575,0.8846575,0.63734568,0.36265432
"71","00000CONTR00112880","Variable","Owner Occupied","No","No","Yes","70 to 80%",3,34, 1,0.73000000, 1.340117e+00, 4365.955375, 1.515741e+00, 1.2069080140,52.16042, -6.998876,"No","Waterford","0","Dunmore","Branch 256","22/06/2040","01/07/2006","21/07/2016",0.62,0.7513437,0.7513437,0.37391304,0.62608696
"72","00000CONTR00048333","Tracker","Buy to Let","No","No","Yes","10 to 20%",2,30, 0,0.14121202,-1.506435e+00,   43.439210,-1.039390e+00,-0.9737294050,52.15995, -6.999323,"No","Waterford","0","Dunmore","Branch 14","31/10/2020","08/11/1990","05/06/2014",3.55,0.8867977,0.8867977,0.04722274,0.95277726
"73","00000CONTR00088981","Tracker","Buy to Let","No","Yes","Yes","60 to 70%",4,30, 3,0.69000000,-4.327353e-01,  574.153036,-6.042364e-01,-0.5238581017,52.16815, -7.138812,"No","Waterford","0","Tramore","Branch 40","01/10/2038","08/10/2008","04/11/2015",1.60,0.5769537,0.5769537,0.41666667,0.58333333
"74","00000CONTR00020583","Tracker","Owner Occupied","No","No","Yes","10 to 20%",2,31, 0,0.11767668,-1.418208e+00,  613.437191,-1.097831e-01,-0.0848510155,53.41770, -6.386848,"No","Dublin","0","Bealing Village","Branch 4","09/10/2020","17/10/1989","15/12/2015",1.44,0.8338240,0.8338240,0.04722274,0.95277726
"75","00000CONTR00206981","Tracker","Buy to Let","No","No","Yes","60 to 70%",3,32, 0,0.65000000, 1.087507e+00, 5477.684373, 1.628263e+00, 1.5320187005,53.38595, -6.228629,"No","Dublin","0","Beaumont","Branch 62","25/10/2040","02/11/2008","11/05/2016",0.88,0.8521256,0.8521256,0.43593750,0.56406250
"76","00000CONTR00061611","Variable","Owner Occupied","No","No","Yes","60 to 70%",3,28, 0,0.67000000,-3.578260e-01, 2027.163130,-4.525870e-01,-0.2325888594,53.49082, -6.148637,"No","Dublin","0","Donabate","Branch 142","13/02/2034","20/02/2006","15/09/2016",0.40,0.7901509,0.7901509,0.43593750,0.56406250
"77","00000CONTR00016650","Tracker","Owner Occupied","No","No","Yes","90 to 100%",2,28, 0,0.98265290,-9.106581e-02,  364.606064,-7.848629e-01,-0.6006398771,53.27442, -9.022038,"No","Galway","0","Renmore","Branch 181","24/02/2039","03/03/2011","17/10/2013",4.42,0.9015602,0.9015602,0.04722274,0.95277726
"78","00000CONTR00158199","Tracker","Owner Occupied","No","No","Yes","90 to 100%",2,28, 0,0.91787811, 6.917359e-01,  903.724433, 9.681448e-02, 0.3759650397,53.23453, -6.122187,"No","Dublin","0","Shanganagh","Branch 39","25/02/2036","03/03/2008","16/07/2016",0.63,0.8405961,0.8405961,0.04722274,0.95277726
"79","00000CONTR00225413","Tracker","Owner Occupied","No","No","Yes","30 to 40%",4,32, 0,0.34903471,-1.230935e+00,  529.769495,-1.055660e+00,-1.0692620185,53.23420, -6.122022,"No","Dublin","0","Shanganagh","Branch 191","13/12/2029","21/12/1997","21/01/2015",2.68,0.6820861,0.6820861,0.63734568,0.36265432
"80","00000CONTR00112527","Fixed","Owner Occupied","No","No","Yes","40 to 50%",2,31, 0,0.43540372,-8.938434e-01, 3040.744695,-5.923128e-01,-0.5676091886,53.40356, -6.436469,"No","Dublin","0","Clonee","Branch 44","06/09/2029","14/09/1998","22/02/2015",2.56,0.8281120,0.8281120,0.04722274,0.95277726
