"","ContractRef","InterestType","MortgageType","NewLoan","ProbationaryLoans","DefaultedLoans","LTVCategory","CreditRating","MortgageYears","CreditRatingMovement","LTV","LoanBalance","InterestIncome","PropertyValue","AnnualPYMT","AddressLatitude","AddressLongitude","InArrears","County","ArrearsCategory","Town","Branch","MaturityDate","BookingDate","LastValuationDate","ValuationAgeYears","DT_score.No","DT_score.Yes","lr_score","PredictionDT"
"11","00000CONTR00058064","Tracker","Owner Occupied","No","No","Yes","20 to 30%",2,28, 0,0.20005036, 12339.254,  601.538624, 61680.74, 2202.884,53.39153, -6.428587,"No","Dublin","0","Hartstown","Branch 37","26/01/2030","02/02/2002","11/11/2014",2.95,0.04722274,0.95277726,0.7855289,"Yes"
"12","00000CONTR00057396","Variable","Owner Occupied","No","No","Yes","90 to 100%",2,30, 1,0.91787811,103045.361, 5281.074731,112264.75, 3742.158,53.27188, -6.351989,"No","Dublin","0","Ballycragh","Branch 24","31/10/2045","08/11/2015","07/05/2016",0.90,0.04722274,0.95277726,0.8752005,"Yes"
"13","00000CONTR00124763","Fixed","Owner Occupied","No","No","Yes","70 to 80%",3,31, 0,0.79000000,150060.436, 8065.748432,189949.92, 6127.417,52.27606, -8.001052,"No","Tipperary","0","Clogheen","Branch 187","28/01/2045","05/02/2014","20/04/2014",3.72,0.42792589,0.57207411,0.8061535,"Yes"
"14","00000CONTR00046436","Tracker","Buy to Let","No","No","Yes","90 to 100%",4,35, 3,0.97340056, 62199.912, 1321.748134, 63899.61, 1825.703,53.29238, -6.152962,"No","Dublin","0","Monkstown","Branch 249","29/04/2049","08/05/2014","08/05/2014",3.65,0.63515585,0.36484415,0.8912161,"No"
"15","00000CONTR00167139","Tracker","Owner Occupied","No","No","Yes","10 to 20%",4,32, 0,0.11767668, 11835.611,   88.767081,100577.37, 3143.043,51.84666, -8.334739,"No","Cork","0","Monkstown","Branch 112","16/07/2026","24/07/1994","02/11/2016",0.22,0.56958175,0.43041825,0.6777733,"Yes"
"16","00000CONTR00144902","Tracker","Buy to Let","No","Yes","Yes","60 to 70%",4,30, 1,0.64000000, 77359.567, 3577.879970,120874.32, 4029.144,53.53594, -6.964521,"Yes","Meath","< 6 months","Ballivor","Branch 80","10/08/2035","17/08/2005","19/11/2014",2.92,0.56958175,0.43041825,0.5749114,"No"
"17","00000CONTR00198038","Tracker","Buy to Let","No","No","Yes","10 to 20%",3,35, 0,0.14121202,  9669.946,  290.098376, 68478.21, 1956.520,53.29829, -6.246233,"No","Dublin","0","Churchtown Lower","Branch 60","07/08/2022","16/08/1987","22/04/2014",3.71,0.42792589,0.57207411,0.8200047,"Yes"
"18","00000CONTR00185161","Variable","Owner Occupied","No","No","Yes","90 to 100%",4,28, 0,0.94141345,187355.201, 6323.238038,199014.79, 7107.671,53.83088, -7.061701,"No","Cavan","0","Virginia","Branch 128","09/10/2036","16/10/2008","09/09/2013",4.56,0.56958175,0.43041825,0.7286830,"Yes"
"19","00000CONTR00137450","Tracker","Owner Occupied","No","No","Yes","90 to 100%",2,33, 0,0.96299985, 65574.320,  901.646905, 68093.80, 2063.449,51.89428, -9.579568,"No","Kerry","0","Kenmare","Branch 126","01/08/2039","09/08/2006","09/01/2016",1.35,0.04722274,0.95277726,0.9243396,"Yes"
"20","00000CONTR00132001","Tracker","Owner Occupied","No","No","Yes","90 to 100%",3,32, 0,0.92964578,107653.694,    0.000000,115800.77, 3618.774,51.89398, -9.581301,"No","Kerry","0","Kenmare","Branch 47","05/04/2041","13/04/2009","26/04/2015",2.32,0.42792589,0.57207411,0.8604060,"Yes"
"21","00000CONTR00187365","Tracker","Owner Occupied","No","No","Yes","90 to 100%",4,31, 0,0.91787811,105034.750, 3938.803144,114432.13, 3691.359,54.08863, -6.261069,"No","Louth","0","Knocknagoran","Branch 8","24/08/2046","01/09/2015","10/12/2016",0.08,0.63515585,0.36484415,0.7327209,"No"
"22","00000CONTR00175505","Variable","Owner Occupied","Yes","No","Yes","70 to 80%",2,30, 0,0.71000000,191736.895, 3834.737907,270051.97, 9001.732,53.26882, -7.475389,"No","Offaly","0","Tullamore","Branch 96","18/04/2046","25/04/2016","25/04/2016",0.94,0.04722274,0.95277726,0.7637236,"Yes"
"23","00000CONTR00175809","Fixed","Buy to Let","No","No","Yes","70 to 80%",2,35, 0,0.77000000,185088.808, 9948.523406,240375.07, 6867.859,53.26864, -7.475592,"No","Offaly","0","Tullamore","Branch 96","29/10/2048","07/11/2013","27/01/2015",2.66,0.04722274,0.95277726,0.9053320,"Yes"
"24","00000CONTR00221230","Tracker","Owner Occupied","No","No","Yes","70 to 80%",3,33, 0,0.78000000,155147.230, 7369.493443,198906.71, 6027.476,51.70768, -8.536808,"No","Cork","0","Cionn tS<e1>ile","Branch 208","25/04/2041","03/05/2008","06/10/2013",4.46,0.42792589,0.57207411,0.7873992,"Yes"
"25","00000CONTR00029936","Tracker","Owner Occupied","No","No","Yes","70 to 80%",2,28, 0,0.70000000,201935.666, 3786.293744,288479.52,10302.840,54.00140, -6.423572,"No","Louth","0","Dundalk","Branch 71","15/07/2040","22/07/2012","27/05/2015",2.20,0.04722274,0.95277726,0.7740763,"Yes"
"26","00000CONTR00003713","Tracker","Owner Occupied","No","No","Yes","90 to 100%",2,33, 0,0.94141345,107880.333,  943.952919,114594.00, 3472.545,52.63675, -8.676137,"No","Limerick","0","Skehacreggaun","Branch 124","09/04/2039","17/04/2006","05/10/2014",3.09,0.04722274,0.95277726,0.8642495,"Yes"
"27","00000CONTR00052076","Tracker","Buy to Let","No","No","Yes","60 to 70%",3,34, 0,0.63000000,198384.983, 1983.849831,314896.80, 9261.671,52.63560, -8.675845,"No","Limerick","0","Skehacreggaun","Branch 225","05/06/2042","13/06/2008","09/03/2014",3.88,0.42792589,0.57207411,0.8445958,"No"
"28","00000CONTR00108263","Tracker","Owner Occupied","No","No","Yes","60 to 70%",2,28, 0,0.62000000,166806.566,  208.508208,269042.85, 9608.673,52.80795, -8.451421,"Yes","Clare","< 90 days","Killaloe","Branch 246","15/05/2035","22/05/2007","15/02/2015",2.58,0.04722274,0.95277726,0.8297355,"Yes"
"29","00000CONTR00091118","Tracker","Owner Occupied","No","No","Yes","90 to 100%",2,35, 0,0.91787811,182268.407, 1822.684067,198575.83, 5673.595,51.86687, -8.486671,"No","Cork","0","Coolkellure","Branch 90","01/10/2046","10/10/2011","23/08/2016",0.49,0.04722274,0.95277726,0.8245076,"Yes"
"30","00000CONTR00227265","Variable","Owner Occupied","Yes","No","Yes","90 to 100%",3,30, 0,0.97340056, 89749.185, 2243.729626, 92201.70, 3073.390,51.86659, -8.487173,"No","Cork","0","Lehenagh Beg","Branch 245","01/12/2046","08/12/2016","08/12/2016",0.09,0.42792589,0.57207411,0.7957347,"Yes"
"31","00000CONTR00190661","Fixed","Buy to Let","No","No","Yes","60 to 70%",4,30, 2,0.69000000, 91562.300, 5150.379369,132698.99, 4423.300,51.86668, -8.487129,"No","Cork","0","Coolkellure","Branch 9","12/09/2035","19/09/2005","08/06/2016",0.78,0.56958175,0.43041825,0.8450642,"Yes"
"32","00000CONTR00094309","Tracker","Owner Occupied","No","No","Yes","90 to 100%",2,31, 0,0.92964578,119615.216,  598.076079,128667.52, 4150.565,53.35502, -6.458939,"No","Dublin","0","Lucan","Branch 202","13/04/2040","21/04/2009","07/03/2014",3.89,0.04722274,0.95277726,0.8596515,"Yes"
"33","00000CONTR00038189","Tracker","Buy to Let","No","No","Yes","60 to 70%",4,34, 1,0.66000000,182369.135, 8662.533926,276316.87, 8126.967,51.86310, -8.451868,"No","Cork","0","Grange","Branch 9","13/07/2039","21/07/2005","25/06/2013",4.85,0.56958175,0.43041825,0.8139478,"No"
"34","00000CONTR00214975","Variable","Owner Occupied","No","No","Yes","30 to 40%",4,35, 0,0.30396170, 43968.035, 2198.401755,144649.92, 4132.855,53.59710, -6.175232,"No","Dublin","0","Balbriggan","Branch 85","03/04/2037","12/04/2002","08/04/2013",5.14,0.63515585,0.36484415,0.6924751,"No"
"35","00000CONTR00091968","Fixed","Owner Occupied","No","No","Yes","30 to 40%",2,32, 0,0.38833305, 49709.565, 3231.121755,128007.56, 4000.236,53.92566, -7.414577,"No","Cavan","0","Garrymore","Branch 171","31/07/2031","08/08/1999","02/09/2014",3.21,0.04722274,0.95277726,0.8718480,"Yes"
"36","00000CONTR00189486","Variable","Owner Occupied","No","No","Yes","0 to 10%",2,28,-1,0.02353534,  2568.579,   99.532451,109137.14, 3897.755,53.69601, -6.261668,"Yes","Meath","< 90 days","Bettystown","Branch 80","05/06/2019","12/06/1991","21/05/2015",2.23,0.04722274,0.95277726,0.8066186,"Yes"
"37","00000CONTR00173558","Tracker","Owner Occupied","No","No","Yes","70 to 80%",4,32, 0,0.76602272, 94105.697, 3176.067278,122849.75, 3839.055,53.27740, -9.102929,"No","Galway","0","Mincloon","Branch 181","20/03/2046","28/03/2014","13/01/2016",1.33,0.63515585,0.36484415,0.7692106,"No"
"38","00000CONTR00088694","Fixed","Owner Occupied","No","No","Yes","20 to 30%",3,35, 0,0.23313735, 25484.337, 1592.771031,109310.40, 3123.154,53.35893, -6.240092,"No","Dublin","0","North Dock","Branch 234","17/06/2033","26/06/1998","27/03/2013",5.19,0.42792589,0.57207411,0.7410873,"Yes"
"39","00000CONTR00082851","Variable","Owner Occupied","No","No","Yes","> 100%",2,30, 0,1.00025179,210623.508, 1053.117542,210570.49, 7019.016,52.07079, -9.513141,"No","Kerry","0","Killarney","Branch 126","11/11/2040","19/11/2010","24/06/2013",4.85,0.04722274,0.95277726,0.8278028,"Yes"
"40","00000CONTR00133729","Tracker","Owner Occupied","No","No","Yes","30 to 40%",2,28, 0,0.34126238, 44975.321,    0.000000,131791.03, 4706.823,54.80777, -7.777840,"No","Donegal","0","Drumboe","Branch 58","07/12/2031","14/12/2003","24/12/2013",4.16,0.04722274,0.95277726,0.8705767,"Yes"
"41","00000CONTR00183346","Tracker","Owner Occupied","Yes","No","Yes","70 to 80%",2,31, 0,0.73000000,141020.044, 2820.400877,193178.14, 6231.553,52.66830, -7.233036,"No","Kilkenny","0","Neworchard","Branch 35","01/06/2047","08/06/2016","08/06/2016",0.78,0.04722274,0.95277726,0.8186657,"Yes"
"42","00000CONTR00007219","Variable","Owner Occupied","No","No","Yes","70 to 80%",2,32, 0,0.72000000,160964.307, 3018.080760,223561.54, 6986.298,54.85914, -7.664168,"No","Donegal","0","Convoy","Branch 118","10/08/2043","18/08/2011","19/12/2016",0.05,0.04722274,0.95277726,0.8525940,"Yes"
"43","00000CONTR00226045","Variable","Buy to Let","No","No","Yes","70 to 80%",3,33,-1,0.72000000,197856.158, 5688.364541,274800.22, 8327.279,54.85898, -7.664367,"No","Donegal","0","Convoy","Branch 135","24/10/2044","02/11/2011","13/11/2016",0.18,0.42792589,0.57207411,0.8705588,"Yes"
"44","00000CONTR00085738","Tracker","Owner Occupied","Yes","No","Yes","90 to 100%",2,34, 0,0.90611044,160284.389,  400.710973,176892.77, 5202.729,51.87581, -8.675482,"No","Cork","0","Ovens","Branch 52","17/09/2050","25/09/2016","25/09/2016",0.37,0.04722274,0.95277726,0.7720599,"Yes"
"45","00000CONTR00040044","Tracker","Buy to Let","No","No","Yes","40 to 50%",2,29, 0,0.40010071, 37773.226, 1038.763716, 94409.29, 3255.493,53.47438, -6.236027,"No","Dublin","0","Swords","Branch 13","14/05/2026","21/05/1997","17/12/2013",4.19,0.04722274,0.95277726,0.9013755,"Yes"
"46","00000CONTR00185015","Fixed","Owner Occupied","No","No","Yes","90 to 100%",4,33, 0,0.91322774, 82270.086, 5039.042786, 90087.15, 2729.914,53.17014, -6.540880,"No","Wicklow","0","Blessington","Branch 147","02/09/2047","10/09/2014","10/09/2014",3.18,0.63515585,0.36484415,0.7753454,"No"
"47","00000CONTR00098923","Tracker","Owner Occupied","No","No","Yes","60 to 70%",3,29, 2,0.63000000,138501.829, 2943.163862,219844.17, 7580.834,53.25270, -6.117313,"No","Dublin","0","Killiney","Branch 230","03/01/2036","10/01/2007","03/11/2016",0.22,0.42792589,0.57207411,0.7671368,"Yes"
"48","00000CONTR00036953","Tracker","Owner Occupied","No","No","Yes","60 to 70%",2,32,-1,0.61000000, 96699.459, 3263.606729,158523.70, 4953.866,51.85214, -8.304874,"No","Cork","0","Cobh","Branch 112","16/02/2037","24/02/2005","23/09/2014",3.13,0.04722274,0.95277726,0.8562921,"Yes"
"49","00000CONTR00226053","Tracker","Owner Occupied","No","No","Yes","90 to 100%",4,34, 0,0.90611044,165320.819, 3306.416385,182451.07, 5366.208,53.44524, -6.174816,"No","Dublin","0","Malahide","Branch 25","03/06/2044","12/06/2010","05/02/2014",4.00,0.63515585,0.36484415,0.6697058,"No"
"50","00000CONTR00102353","Tracker","Buy to Let","No","Yes","Yes","70 to 80%",4,35, 1,0.71000000,189344.591,  473.361477,266682.52, 7619.501,53.42949, -7.938732,"No","Westmeath","0","Athlone","Branch 200","30/08/2045","08/09/2010","05/10/2013",4.46,0.56958175,0.43041825,0.5156264,"Yes"
"51","00000CONTR00218405","Tracker","Owner Occupied","No","No","Yes","60 to 70%",3,29,-2,0.60000000,159554.107, 2991.639502,265923.51, 9169.776,52.85263, -6.331216,"No","Wicklow","0","Aughrim","Branch 34","07/08/2036","15/08/2007","22/02/2014",3.94,0.42792589,0.57207411,0.7829387,"Yes"
"52","00000CONTR00069188","Variable","Owner Occupied","No","No","Yes","30 to 40%",2,30, 0,0.37656538, 31427.324,  667.830636, 83457.82, 2781.927,53.39409, -6.675048,"No","Kildare","0","Kilcock","Branch 180","04/09/2030","11/09/2000","22/01/2015",2.68,0.04722274,0.95277726,0.8298088,"Yes"
"53","00000CONTR00068609","Tracker","Owner Occupied","No","No","Yes","20 to 30%",2,32, 0,0.27065637, 28254.373,  529.769495,104392.05, 3262.252,53.39465, -6.674678,"No","Kildare","0","Kilcock","Branch 94","07/06/2030","15/06/1998","11/10/2016",0.31,0.04722274,0.95277726,0.8213338,"Yes"
"54","00000CONTR00067076","Variable","Owner Occupied","No","No","Yes","60 to 70%",3,33, 0,0.65000000,165346.001, 5580.427548,254378.46, 7708.438,53.39466, -6.186106,"No","Dublin","0","Donaghmede","Branch 56","12/06/2039","20/06/2006","20/09/2014",3.14,0.42792589,0.57207411,0.7530094,"Yes"
"55","00000CONTR00235138","Variable","Buy to Let","No","No","Yes","60 to 70%",4,29, 0,0.65000000,132256.655, 1487.887373,203471.78, 7016.268,53.59433, -6.726764,"No","Meath","0","Balbradagh","Branch 201","27/01/2037","04/02/2008","08/02/2016",1.23,0.56958175,0.43041825,0.8368120,"No"
"56","00000CONTR00238445","Tracker","Owner Occupied","No","No","Yes","70 to 80%",3,34, 0,0.77000000,101534.432,    0.000000,131862.90, 3878.321,52.26906, -8.270613,"No","Cork","0","Mitchelstown","Branch 198","10/12/2042","18/12/2008","09/08/2013",4.68,0.42792589,0.57207411,0.7913587,"Yes"
"57","00000CONTR00011217","Tracker","Buy to Let","No","No","Yes","20 to 30%",2,35, 0,0.29419170, 22210.657,  971.716240, 75497.22, 2157.064,53.79448, -9.504930,"No","Mayo","0","Westport","Branch 170","06/09/2030","15/09/1995","08/10/2013",4.45,0.04722274,0.95277726,0.9189794,"Yes"
"58","00000CONTR00216565","Fixed","Owner Occupied","No","No","Yes","60 to 70%",3,28,-2,0.66000000, 51296.041, 3334.242662, 77721.27, 2775.760,52.27335, -8.272384,"No","Cork","0","Mitchelstown","Branch 12","25/10/2034","01/11/2006","12/09/2013",4.55,0.42792589,0.57207411,0.7994776,"Yes"
"59","00000CONTR00217497","Variable","Buy to Let","No","No","Yes","90 to 100%",4,29, 0,0.90611044,111909.478, 6574.681812,123505.34, 4258.805,53.23460, -7.320849,"No","Offaly","0","Geashill","Branch 96","19/02/2044","26/02/2015","22/04/2016",0.95,0.56958175,0.43041825,0.8815201,"Yes"
"60","00000CONTR00195497","Fixed","Owner Occupied","No","No","Yes","0 to 10%",3,34, 0,0.02353534,  2493.033,  146.465684,105927.23, 3115.507,54.94666, -7.754638,"Yes","Donegal","< 90 days","Sallaghagrane","Branch 179","27/09/2019","05/10/1985","19/11/2013",4.29,0.42792589,0.57207411,0.7468190,"Yes"
"61","00000CONTR00092823","Variable","Owner Occupied","Yes","No","Yes","70 to 80%",2,35, 0,0.78000000,174512.304, 2617.684564,223733.72, 6392.392,53.27117, -9.116767,"No","Galway","0","Galway","Branch 156","06/09/2051","14/09/2016","14/09/2016",0.41,0.04722274,0.95277726,0.7676010,"Yes"
"62","00000CONTR00100380","Variable","Owner Occupied","No","No","Yes","90 to 100%",2,28, 0,0.91787811,127018.768, 7462.352624,138383.05, 4942.252,52.68123, -6.220148,"Yes","Wexford","< 90 days","Ballymoney Lower","Branch 224","11/01/2040","18/01/2012","08/08/2016",0.55,0.04722274,0.95277726,0.8549724,"Yes"
"63","00000CONTR00017389","Variable","Owner Occupied","No","No","Yes","60 to 70%",2,31, 0,0.60000000,144394.452, 9927.118578,240657.42, 7763.143,53.31722, -6.333600,"No","Dublin","0","Dublin","Branch 50","10/03/2037","18/03/2006","18/07/2014",3.38,0.04722274,0.95277726,0.8339401,"Yes"
"64","00000CONTR00180888","Variable","Buy to Let","No","Yes","Yes","60 to 70%",4,34, 2,0.63000000,162878.151, 5904.332961,258536.75, 7604.022,52.14486, -9.715572,"No","Kerry","0","Milltown","Branch 244","28/07/2042","05/08/2008","17/10/2013",4.42,0.56958175,0.43041825,0.5660422,"No"
"65","00000CONTR00081777","Variable","Owner Occupied","No","No","Yes","20 to 30%",3,28, 0,0.20005036, 16393.580,   61.475925, 81947.27, 2926.688,53.35611, -6.418278,"No","Dublin","0","Lucan","Branch 111","15/07/2025","22/07/1997","18/06/2014",3.50,0.42792589,0.57207411,0.7364073,"Yes"
"66","00000CONTR00093482","Tracker","Buy to Let","No","No","Yes","30 to 40%",2,28, 0,0.35000000, 51371.587, 1541.147622,146775.96, 5241.999,52.26381, -7.097618,"No","Kilkenny","0","Waterford","Branch 35","15/08/2026","22/08/1998","17/10/2014",3.04,0.04722274,0.95277726,0.9455538,"Yes"
"67","00000CONTR00150581","Variable","Buy to Let","No","No","Yes","10 to 20%",4,32, 1,0.14121202, 15562.569,   97.266057,110207.12, 3443.972,53.39097, -6.444650,"No","Dublin","0","Hansfield","Branch 17","26/11/2017","04/12/1985","12/06/2015",2.14,0.63515585,0.36484415,0.7975798,"No"
"68","00000CONTR00056492","Tracker","Owner Occupied","No","No","Yes","10 to 20%",2,31, 0,0.17651502, 26315.347,  624.989502,149082.77, 4809.121,53.39095, -6.444522,"No","Dublin","0","Hansfield","Branch 1","08/09/2020","16/09/1989","06/05/2014",3.66,0.04722274,0.95277726,0.8397151,"Yes"
"69","00000CONTR00050033","Tracker","Owner Occupied","No","No","Yes","40 to 50%",2,32, 0,0.44717139, 49709.565,  124.273914,111164.46, 3473.889,53.76745, -8.485252,"No","Roscommon","0","Castlerea","Branch 144","16/05/2029","24/05/1997","04/07/2015",2.06,0.04722274,0.95277726,0.8525649,"Yes"
"70","00000CONTR00183782","Variable","Buy to Let","No","No","Yes","90 to 100%",4,31, 0,0.98250740, 83050.733, 1764.828076, 84529.37, 2726.754,53.32501, -6.413080,"No","Dublin","0","Lucan","Branch 48","10/11/2037","18/11/2006","05/05/2016",0.91,0.63515585,0.36484415,0.8846575,"No"
"71","00000CONTR00112880","Variable","Owner Occupied","No","No","Yes","70 to 80%",3,34, 1,0.73000000,183829.700, 4365.955375,251821.51, 7406.515,52.16042, -6.998876,"No","Waterford","0","Dunmore","Branch 256","22/06/2040","01/07/2006","21/07/2016",0.62,0.42792589,0.57207411,0.7513437,"Yes"
"72","00000CONTR00048333","Tracker","Buy to Let","No","No","Yes","10 to 20%",2,30, 0,0.14121202, 11583.789,   43.439210, 82031.19, 2734.373,52.15995, -6.999323,"No","Waterford","0","Dunmore","Branch 14","31/10/2020","08/11/1990","05/06/2014",3.55,0.04722274,0.95277726,0.8867977,"Yes"
"73","00000CONTR00088981","Tracker","Buy to Let","No","Yes","Yes","60 to 70%",4,30, 3,0.69000000, 76553.738,  574.153036,110947.45, 3698.248,52.16815, -7.138812,"No","Waterford","0","Tramore","Branch 40","01/10/2038","08/10/2008","04/11/2015",1.60,0.56958175,0.43041825,0.5769537,"Yes"
"74","00000CONTR00020583","Tracker","Owner Occupied","No","No","Yes","10 to 20%",2,31, 0,0.11767668, 16922.405,  613.437191,143804.24, 4638.846,53.41770, -6.386848,"No","Dublin","0","Bealing Village","Branch 4","09/10/2020","17/10/1989","15/12/2015",1.44,0.04722274,0.95277726,0.8338240,"Yes"
"75","00000CONTR00206981","Tracker","Buy to Let","No","No","Yes","60 to 70%",3,32, 0,0.65000000,168544.134, 5477.684373,259298.67, 8103.083,53.38595, -6.228629,"No","Dublin","0","Beaumont","Branch 62","25/10/2040","02/11/2008","11/05/2016",0.88,0.42792589,0.57207411,0.8521256,"Yes"
"76","00000CONTR00061611","Variable","Owner Occupied","No","No","Yes","60 to 70%",3,28, 0,0.67000000, 81086.525, 2027.163130,121024.66, 4322.309,53.49082, -6.148637,"No","Dublin","0","Donabate","Branch 142","13/02/2034","20/02/2006","15/09/2016",0.40,0.42792589,0.57207411,0.7901509,"Yes"
"77","00000CONTR00016650","Tracker","Owner Occupied","No","No","Yes","90 to 100%",2,28, 0,0.98265290, 97228.284,  364.606064, 98944.69, 3533.739,53.27442, -9.022038,"No","Galway","0","Renmore","Branch 181","24/02/2039","03/03/2011","17/10/2013",4.42,0.04722274,0.95277726,0.9015602,"Yes"
"78","00000CONTR00158199","Tracker","Owner Occupied","No","No","Yes","90 to 100%",2,28, 0,0.91787811,144595.909,  903.724433,157532.80, 5626.171,53.23453, -6.122187,"No","Dublin","0","Shanganagh","Branch 39","25/02/2036","03/03/2008","16/07/2016",0.63,0.04722274,0.95277726,0.8405961,"Yes"
"79","00000CONTR00225413","Tracker","Owner Occupied","No","No","Yes","30 to 40%",4,32, 0,0.34903471, 28254.373,  529.769495, 80950.04, 2529.689,53.23420, -6.122022,"No","Dublin","0","Shanganagh","Branch 191","13/12/2029","21/12/1997","21/01/2015",2.68,0.63515585,0.36484415,0.6820861,"No"
"80","00000CONTR00112527","Fixed","Owner Occupied","No","No","Yes","40 to 50%",2,31, 0,0.43540372, 48651.915, 3040.744695,111739.78, 3604.509,53.40356, -6.436469,"No","Dublin","0","Clonee","Branch 44","06/09/2029","14/09/1998","22/02/2015",2.56,0.04722274,0.95277726,0.8281120,"Yes"
"81","00000CONTR00156404","Variable","Buy to Let","No","No","Yes","20 to 30%",2,30, 0,0.28242403, 49709.565, 3168.984798,176010.39, 5867.013,53.15691, -6.907409,"No","Kildare","0","Kildare","Branch 87","03/12/2033","11/12/2003","05/06/2016",0.79,0.04722274,0.95277726,0.9271024,"Yes"
"82","00000CONTR00159590","Tracker","Owner Occupied","No","No","Yes","60 to 70%",4,35, 0,0.62000000,187002.651, 4908.819589,301617.18, 8617.634,53.38849, -6.207728,"Yes","Dublin","< 6 months","Kilmore","Branch 252","16/06/2043","24/06/2008","17/12/2013",4.19,0.63515585,0.36484415,0.6537571,"No"
"83","00000CONTR00207986","Tracker","Owner Occupied","No","No","Yes","10 to 20%",3,33, 0,0.16474735, 17803.781,  845.679576,108067.17, 3274.763,53.31872, -8.225087,"No","Galway","0","Ballinasloe","Branch 78","17/01/2015","25/01/1982","21/09/2014",3.14,0.42792589,0.57207411,0.7686578,"Yes"
"84","00000CONTR00170334","Fixed","Buy to Let","No","Yes","Yes","40 to 50%",4,34, 2,0.41275805, 31125.138, 1906.414718, 75407.71, 2217.874,53.31846, -8.224972,"No","Galway","0","Ballinasloe","Branch 156","28/05/2034","05/06/2000","10/02/2015",2.60,0.63515585,0.36484415,0.5215632,"No"
"85","00000CONTR00237418","Fixed","Owner Occupied","No","No","Yes","40 to 50%",3,35,-2,0.43540372, 40291.441, 2165.664959, 92538.12, 2643.946,53.86408, -7.201140,"No","Cavan","0","Ballyjamesduff","Branch 171","26/04/2035","04/05/2000","10/07/2016",0.66,0.42792589,0.57207411,0.8170792,"Yes"
