"","ContractRef","InterestType","MortgageType","NewLoan","ProbationaryLoans","DefaultedLoans","LTVCategory","CreditRating","MortgageYears","CreditRatingMovement","LTV","LoanBalance","InterestIncome","PropertyValue","AnnualPYMT","AddressLatitude","AddressLongitude","InArrears","County","ArrearsCategory","prediction"
"91","00000CONTR00003713","Tracker","Owner Occupied","No","No","Yes","90 to 100%","2",33,0,0.941413448,0.0849709403178761,-0.815254986622372,-0.549360377989747,-0.629200752755366,52.6367457,-8.676137,"No","Limerick","0",NA
"95","00000CONTR00052076","Tracker","Buy to Let","No","No","Yes","60 to 70%","3",34,0,0.63,1.58065911278749,-0.481465519667135,2.46494451555363,2.07276820881484,52.6355962,-8.6758453,"No","Limerick","0",0.501808136655528
"100","00000CONTR00108263","Tracker","Owner Occupied","No","No","Yes","60 to 70%","2",28,0,0.62,1.05879128752777,-1.05132040334028,1.77490030518615,2.23472537730824,52.8079472,-8.4514213,"Yes","Clare","< 90 days",0.9494557518464
"107","00000CONTR00091118","Tracker","Owner Occupied","No","No","Yes","90 to 100%","2",35,0,0.917878112,1.31431508727365,-0.533197026713987,0.714460384441157,0.398099174793387,51.8668674,-8.4866708,"No","Cork","0",0.969766117251479
"108","00000CONTR00227265","Variable","Owner Occupied","Yes","No","Yes","90 to 100%","3",30,0,0.973400556,-0.214666088385185,-0.398048464377545,-0.886336326554627,-0.815499339476226,51.8665911,-8.4871732,"No","Cork","0",NA
"111","00000CONTR00190661","Fixed","Buy to Let","No","No","Yes","60 to 70%","4",30,2,0.69,-0.184702385432248,0.534937350542403,-0.276903158207854,-0.185453580592733,51.8666813,-8.4871286,"No","Cork","0",NA
"112","00000CONTR00094309","Tracker","Owner Occupied","No","No","Yes","90 to 100%","2",31,0,0.92964578,0.278902685692348,-0.926275650851554,-0.337571655810008,-0.31274740418298,53.3550205,-6.4589388,"No","Dublin","0",NA
"115","00000CONTR00038189","Tracker","Buy to Let","No","No","Yes","60 to 70%","4",34,1,0.66,1.3159797373918,1.66228005476015,1.88436519222925,1.54316585337231,51.863099,-8.4518679,"No","Cork","0",0.443245479374536
"117","00000CONTR00214975","Variable","Owner Occupied","No","No","Yes","30 to 40%","4",35,0,0.303961702,-0.971249587740257,-0.412597950694349,-0.0970566781532493,-0.321013380861324,53.5971043,-6.1752322,"No","Dublin","0",NA
"118","00000CONTR00091968","Fixed","Owner Occupied","No","No","Yes","30 to 40%","2",32,0,0.388333047,-0.876364528361748,-0.08111215227487,-0.347503218304861,-0.382910687932857,53.9256587,-7.4145769,"No","Cavan","0",NA
"120","00000CONTR00189486","Variable","Owner Occupied","No","No","Yes","0 to 10%","2",28,-1,0.023535336,-1.65542080497284,-1.0862997935467,-0.631479207832369,-0.430741872275029,53.6960148,-6.2616677,"Yes","Meath","< 90 days",NA
"127","00000CONTR00173558","Tracker","Owner Occupied","No","No","Yes","70 to 80%","4",32,0,0.76602272,-0.14266996879223,-0.0987837159754974,-0.425121797440852,-0.45813928626553,53.2774003,-9.1029286,"No","Galway","0",NA
"128","00000CONTR00088694","Fixed","Owner Occupied","No","No","Yes","20 to 30%","3",35,0,0.233137349,-1.27671289268313,-0.606995254990292,-0.628871945761269,-0.792272771377462,53.3589269,-6.2400924,"No","Dublin","0",NA
"132","00000CONTR00082851","Variable","Owner Occupied","No","No","Yes","> 100%","2",30,0,1.000251789,1.78291410710008,-0.780214973472575,0.894964920350147,1.02605007924747,52.0707869,-9.5131407,"No","Kerry","0",0.970763440826461
"133","00000CONTR00133729","Tracker","Owner Occupied","No","No","Yes","30 to 40%","2",28,0,0.341262375,-0.954603086063012,-1.11824804075066,-0.290566689547744,-0.0531243160574938,54.8077685,-7.7778405,"No","Donegal","0",NA
"144","00000CONTR00183346","Tracker","Owner Occupied","Yes","No","Yes","70 to 80%","2",31,0,0.73,0.632640844061466,-0.212946665183867,0.633232000633452,0.658515875994535,52.6683041,-7.2330361,"No","Kilkenny","0",0.973177658795351
"146","00000CONTR00007219","Variable","Owner Occupied","No","No","Yes","70 to 80%","2",32,0,0.72,0.962241577370073,-0.149494738381129,1.09046384556895,1.01077943133511,54.8591446,-7.6641676,"No","Donegal","0",0.971080519150019
"147","00000CONTR00226045","Variable","Buy to Let","No","No","Yes","70 to 80%","3",33,-1,0.72,1.57191969884091,0.707621567249991,1.86154148631621,1.63665810291833,54.8589756,-7.6643671,"No","Donegal","0",0.630877376784359
"152","00000CONTR00085738","Tracker","Owner Occupied","Yes","No","Yes","90 to 100%","2",34,0,0.906110444,0.951005188246281,-0.989626539516977,0.38815769994274,0.178330796887137,51.8758137,-8.6754825,"No","Cork","0",0.969114608371515
"156","00000CONTR00040044","Tracker","Buy to Let","No","No","Yes","40 to 50%","2",29,0,0.400100715,-1.07362557281569,-0.784822310865076,-0.853114802858583,-0.730506106280274,53.4743835,-6.2360273,"No","Dublin","0",NA
"157","00000CONTR00185015","Fixed","Owner Occupied","No","No","Yes","90 to 100%","4",33,0,0.913227743,-0.33826636296276,0.499200174822893,-0.918157598925,-0.975810651431976,53.1701431,-6.5408797,"No","Wicklow","0",NA
"158","00000CONTR00098923","Tracker","Owner Occupied","No","No","Yes","60 to 70%","3",29,2,0.63,0.59102459110781,-0.173541806074831,1.03452218154487,1.28826806895527,53.2527004,-6.1173127,"No","Dublin","0",0.549918140849515
"161","00000CONTR00036953","Tracker","Owner Occupied","No","No","Yes","60 to 70%","2",32,-1,0.61,-0.0998052270931383,-0.07068502048404,0.111726319890365,0.0621785538842195,51.8521369,-8.3048739,"No","Cork","0",NA
"168","00000CONTR00226053","Tracker","Owner Occupied","No","No","Yes","90 to 100%","4",34,0,0.906110444,1.03423769745881,-0.0569438389447813,0.471803057503281,0.254631789087177,53.4452393,-6.1748161,"No","Dublin","0",0.384015146085344
"169","00000CONTR00102353","Tracker","Buy to Let","No","Yes","Yes","70 to 80%","4",35,1,0.71,1.43125676055234,-0.966306946058868,1.7393803708974,1.30631523780872,53.4294921,-7.9387321,"No","Westmeath","0",0.525639205077422
"170","00000CONTR00218405","Tracker","Owner Occupied","No","No","Yes","60 to 70%","3",29,-2,0.6,0.938936475716026,-0.157981938705849,1.72795820654365,2.02987821499119,52.8526277,-6.3312163,"No","Wicklow","0",0.55825396921341
"174","00000CONTR00069188","Variable","Owner Occupied","No","No","Yes","30 to 40%","2",30,0,0.376565379,-1.17849853306833,-0.903885607903673,-1.01792075852807,-0.951534294222055,53.3940882,-6.6750482,"No","Kildare","0",NA
"175","00000CONTR00068609","Tracker","Owner Occupied","No","No","Yes","20 to 30%","2",32,0,0.270656366,-1.23093501327729,-0.948200918528273,-0.702886885694671,-0.727351612364335,53.3946511,-6.6746782,"No","Kildare","0",NA
"177","00000CONTR00067076","Variable","Owner Occupied","No","No","Yes","60 to 70%","3",33,0,0.65,1.03465385916204,0.672975602899922,1.55421977714341,1.34782526988721,53.3946584,-6.1861055,"No","Dublin","0",0.565972848288056
"182","00000CONTR00235138","Variable","Buy to Let","No","No","Yes","60 to 70%","4",29,0,0.65,0.487816280477526,-0.640661150018263,0.788138250638071,1.02476744789215,53.594331,-6.7267641,"No","Meath","0",0.394965411346741
"183","00000CONTR00238445","Tracker","Owner Occupied","No","No","Yes","70 to 80%","3",34,0,0.77,-0.019902018777945,-1.11824804075066,-0.289485219311135,-0.439812618786808,52.2690623,-8.270613,"No","Cork","0",NA
"190","00000CONTR00011217","Tracker","Buy to Let","No","No","Yes","20 to 30%","2",35,0,0.294191703,-1.33081402301023,-0.806343426217219,-1.13771763940927,-1.24317805006433,53.794484,-9.5049304,"No","Mayo","0",NA
"191","00000CONTR00216565","Fixed","Owner Occupied","No","No","Yes","60 to 70%","3",28,-2,0.66,-0.850146288339901,-0.0480120707516732,-1.10424848687674,-0.954412816605202,52.2733469,-8.2723837,"No","Cork","0",NA
"194","00000CONTR00217497","Variable","Buy to Let","No","No","Yes","90 to 100%","4",29,0,0.906110444,0.151556948348943,0.992114545240548,-0.415255958816774,-0.262228500232018,53.234599,-7.3208492,"No","Offaly","0",NA
"200","00000CONTR00195497","Fixed","Owner Occupied","No","No","Yes","0 to 10%","3",34,0,0.023535336,-1.6566692925945,-1.07123501285477,-0.679784401857441,-0.795842119884542,54.9466619,-7.7546383,"Yes","Donegal","< 90 days",NA
"202","00000CONTR00092823","Variable","Owner Occupied","Yes","No","Yes","70 to 80%","2",35,0,0.78,1.18613702487118,-0.278015201541697,1.09305502204096,0.733584614473287,53.2711711,-9.1167674,"No","Galway","0",0.960082366875696
"203","00000CONTR00100380","Variable","Owner Occupied","No","No","Yes","90 to 100%","2",28,0,0.917878112,0.401254472681313,1.27704198718947,-0.191365218327785,0.0567578827510887,52.6812317,-6.220148,"Yes","Wexford","< 90 days",NA
"204","00000CONTR00017389","Variable","Owner Occupied","No","No","Yes","60 to 70%","2",31,0,0.6,0.688406624671973,2.06819051745792,1.34773534785477,1.37335750305003,53.3172184,-6.3336001,"No","Dublin","0",0.963631010197292
"206","00000CONTR00180888","Variable","Buy to Let","No","Yes","Yes","60 to 70%","4",34,2,0.63,0.993869929614851,0.776943807680207,1.61679670639896,1.29909084836301,52.1448583,-9.7155721,"No","Kerry","0",0.466900564443038
"207","00000CONTR00081777","Variable","Owner Occupied","No","No","Yes","20 to 30%","3",28,0,0.200050358,-1.42694756997735,-1.09851529982878,-1.04065261445135,-0.88396976539252,53.356111,-6.4182781,"No","Dublin","0",NA
"212","00000CONTR00093482","Tracker","Buy to Let","No","No","Yes","30 to 40%","2",28,0,0.35,-0.848897800751292,-0.623565503411452,-0.0650623553457913,0.196659399902777,52.2638115,-7.0976181,"No","Kilkenny","0",NA
"217","00000CONTR00150581","Variable","Buy to Let","No","No","Yes","10 to 20%","4",32,1,0.141212017,-1.44068093394784,-1.08702726786575,-0.615377476490679,-0.642536735604906,53.3909694,-6.4446497,"No","Dublin","0",NA
"218","00000CONTR00056492","Tracker","Owner Occupied","No","No","Yes","10 to 20%","2",31,0,0.176515022,-1.26297952887791,-0.917636893288761,-0.0303479049108797,-0.00537819919295144,53.3909455,-6.4445221,"No","Dublin","0",NA
"224","00000CONTR00050033","Tracker","Owner Occupied","No","No","Yes","40 to 50%","2",32,0,0.447171388,-0.876364528361748,-1.07835819890349,-0.600970663762364,-0.628573528645258,53.7674502,-8.4852516,"No","Roscommon","0",NA
"233","00000CONTR00183782","Variable","Buy to Let","No","No","Yes","90 to 100%","4",31,0,0.982507401,-0.325365324216605,-0.551767829419449,-1.00179519675281,-0.977285419481229,53.3250063,-6.4130798,"No","Dublin","0",NA
"238","00000CONTR00112880","Variable","Owner Occupied","No","No","Yes","70 to 80%","3",34,1,0.73,1.34011716410492,0.283150405435804,1.51574079690289,1.20690801404536,52.1604167,-6.9988764,"No","Waterford","0",0.60059518133736
"239","00000CONTR00048333","Tracker","Buy to Let","No","No","Yes","10 to 20%","2",30,0,0.141212017,-1.50643461526723,-1.10430478295603,-1.03938973360016,-0.973729405035929,52.159953,-6.9993227,"No","Waterford","0",NA
"240","00000CONTR00088981","Tracker","Buy to Let","No","Yes","Yes","60 to 70%","4",30,3,0.69,-0.432735259811733,-0.933954546430827,-0.604236430140327,-0.523858101652202,52.1681546,-7.1388123,"No","Waterford","0",NA
"242","00000CONTR00020583","Tracker","Owner Occupied","No","No","Yes","10 to 20%","2",31,0,0.117676681,-1.41820815669183,-0.921344991580133,-0.109783112361595,-0.084851015528679,53.417704,-6.3868478,"No","Dublin","0",NA
"244","00000CONTR00206981","Tracker","Buy to Let","No","No","Yes","60 to 70%","3",32,0,0.65,1.08750650123949,0.639996767013111,1.62826266409344,1.53201870047361,53.3859504,-6.2286294,"No","Dublin","0",0.553514552305286
"246","00000CONTR00061611","Variable","Owner Occupied","No","No","Yes","60 to 70%","3",28,0,0.67,-0.357826002512022,-0.467562677172367,-0.452586987998244,-0.232588859368415,53.490821,-6.1486374,"No","Dublin","0",NA
"252","00000CONTR00016650","Tracker","Owner Occupied","No","No","Yes","90 to 100%","2",28,0,0.982652904,-0.0910658138076096,-1.00121560956596,-0.784862850617035,-0.600639877115404,53.2744167,-9.0220379,"No","Galway","0",NA
"255","00000CONTR00158199","Tracker","Owner Occupied","No","No","Yes","90 to 100%","2",28,0,0.917878112,0.691735924908266,-0.828167655788721,0.0968144849630872,0.375965039693306,53.2345343,-6.1221872,"No","Dublin","0",0.963154302486408
"256","00000CONTR00225413","Tracker","Owner Occupied","No","No","Yes","30 to 40%","4",32,0,0.349034706,-1.23093501327729,-0.948200918528273,-1.05565964033934,-1.06926201853641,53.2342046,-6.122022,"No","Dublin","0",NA
"260","00000CONTR00112527","Fixed","Owner Occupied","No","No","Yes","40 to 50%","2",31,0,0.43540372,-0.893843355098066,-0.142219995383218,-0.592312834217183,-0.567609188640156,53.4035552,-6.4364685,"No","Dublin","0",NA
"262","00000CONTR00156404","Variable","Buy to Let","No","No","Yes","20 to 30%","2",30,0,0.282424034,-0.876364528361748,-0.101057073262652,0.374878999518416,0.488373519769694,53.1569095,-6.9074095,"No","Kildare","0",NA
"264","00000CONTR00159590","Tracker","Owner Occupied","No","No","Yes","60 to 70%","4",35,0,0.62,1.39255364447914,0.457400712790317,2.2651029616447,1.7721757036281,53.3884932,-6.2077283,"Yes","Dublin","< 6 months",0.335023939749106
"265","00000CONTR00207986","Tracker","Owner Occupied","No","No","Yes","10 to 20%","3",33,0,0.164747353,-1.40364246766226,-0.846799081408671,-0.64758093917406,-0.721512236569159,53.3187229,-8.2250874,"No","Galway","0",NA
"266","00000CONTR00170334","Fixed","Buy to Let","No","Yes","Yes","40 to 50%","4",34,2,0.412758046,-1.18349248358803,-0.506320892138383,-1.13906474279592,-1.2147959840575,53.3184609,-8.2249723,"No","Galway","0",NA
"269","00000CONTR00237418","Fixed","Owner Occupied","No","No","Yes","40 to 50%","3",35,-2,0.43540372,-1.0320093187052,-0.423105913123425,-0.881273633372481,-1.01593439334836,53.8640805,-7.2011398,"No","Cavan","0",NA
"270","00000CONTR00207937","Tracker","Owner Occupied","No","No","Yes","70 to 80%","3",33,0,0.76602272,-0.823928048318055,-0.842414027886167,-1.23496326475757,-1.27355687420378,52.2438572,-7.1097044,"No","Waterford","0",NA
"272","00000CONTR00076402","Tracker","Owner Occupied","No","No","Yes","30 to 40%","2",30,0,0.36,-0.85888570162543,-0.91455523125616,-0.15168170677238,-0.0559968175999743,53.7788008,-7.5062026,"No","Longford","0",NA
"276","00000CONTR00237620","Tracker","Buy to Let","No","No","Yes","60 to 70%","4",31,0,0.62,1.2864321969684,0.475749231722077,2.10924052217102,2.1352232095549,53.4528414,-7.9810257,"No","Roscommon","0",0.357759599002437
"287","00000CONTR00156102","Variable","Owner Occupied","No","No","Yes","60 to 70%","3",30,0,0.63,0.392098897031509,0.302509305419742,0.746994058635198,0.8730744638788,53.8966955,-6.390639,"No","Louth","0",0.576963855893411
"288","00000CONTR00147680","Tracker","Owner Occupied","No","No","Yes","60 to 70%","3",32,0,0.62,-0.148080081841466,0.273935730971784,0.00234705867781316,-0.0438327722500112,53.4053923,-6.1739383,"No","Dublin","0",NA
"298","00000CONTR00026638","Tracker","Owner Occupied","No","No","Yes","20 to 30%","2",33,0,0.200050358,-1.37159795206164,-0.9043705907702,-0.788707877642308,-0.854148794543876,53.3691723,-7.5001174,"No","Westmeath","0",NA
"301","00000CONTR00106989","Tracker","Owner Occupied","No","No","Yes","0 to 10%","3",32,0,0.011767668,-1.65708545514056,-1.112307000472,0.882083535276794,0.808815432115833,52.2346536,-7.0759865,"No","Waterford","0",NA
"303","00000CONTR00047671","Fixed","Owner Occupied","No","No","Yes","70 to 80%","2",34,0,0.77,1.17365214733247,1.94926867381157,1.12201647428868,0.847754113900377,52.7914931,-6.1554716,"No","Wicklow","0",0.966375201842601
"306","00000CONTR00170556","Tracker","Owner Occupied","No","No","Yes","60 to 70%","2",29,0,0.64,-0.434399909929879,-0.290018527889478,-0.476165914970695,-0.327369969739544,53.2872128,-6.7566225,"No","Kildare","0",NA
"310","00000CONTR00007514","Tracker","Owner Occupied","No","No","Yes","90 to 100%","4",34,1,0.964948784,1.68719672365406,1.92257440769054,0.920570599700897,0.663995916817217,52.3603049,-8.4662628,"No","Limerick","0",0.337503812054837
"312","00000CONTR00167631","Tracker","Owner Occupied","No","No","Yes","70 to 80%","2",32,-3,0.74,0.885667670282737,0.575312175384493,0.905308479747542,0.831325249470913,53.2300281,-7.7296513,"Yes","Offaly","< 90 days",0.964913489270504
"318","00000CONTR00097708","Variable","Owner Occupied","No","No","Yes","90 to 100%","2",34,0,0.941413448,0.219807604845548,0.231944296574602,-0.418936354122054,-0.557897476032864,53.3697421,-6.2639104,"Yes","Dublin","< 90 days",NA
"320","00000CONTR00178253","Variable","Buy to Let","No","Yes","Yes","70 to 80%","4",31,2,0.79,-0.648307456061062,-0.481202820574309,-1.06406306384759,-1.03958276754221,54.1122708,-7.5692906,"No","Cavan","0",NA
"324","00000CONTR00014919","Tracker","Buy to Let","No","Yes","Yes","> 100%","4",35,1,1.049118072,-0.0748354746599012,-0.211936284131689,-0.865108098981297,-1.00160957003101,53.4242952,-7.9620653,"No","Westmeath","0",NA
"326","00000CONTR00176372","Tracker","Owner Occupied","No","No","Yes","70 to 80%","2",33,-3,0.75,1.22775327782483,1.50985397704134,1.27825940913569,1.08846703900934,53.3997989,-6.6782101,"No","Kildare","0",0.958432088211629
"327","00000CONTR00139699","Tracker","Owner Occupied","No","No","Yes","90 to 100%","3",31,0,0.945589111,-0.719887412959219,-0.2159778083404,-1.33205646110885,-1.30770304522936,53.3999007,-6.6786355,"No","Kildare","0",NA
"330","00000CONTR00056991","Tracker","Owner Occupied","No","No","Yes","70 to 80%","3",35,-2,0.76602272,-0.254617692377521,-0.172167688113495,-0.558198985048977,-0.729647084005122,53.339534,-6.2165599,"No","Dublin","0",NA
"339","00000CONTR00150502","Tracker","Owner Occupied","No","No","Yes","90 to 100%","3",34,0,0.945589111,-0.111041615721147,0.345733404642804,-0.745736276105793,-0.856003181731152,53.9971643,-6.4068124,"No","Louth","0",NA
"341","00000CONTR00180373","Fixed","Owner Occupied","No","No","Yes","> 100%","4",31,3,1.049118072,-0.446468623616961,0.431241948764969,-1.18767520083005,-1.16325342797812,51.9088199,-8.050962,"No","Cork","0",NA
"348","00000CONTR00186108","Tracker","Owner Occupied","No","No","Yes","60 to 70%","4",35,-1,0.62,0.637634796068513,-0.664627387073719,1.15634034518903,0.789663866526579,53.5138731,-6.412254,"No","Meath","0",0.369832746507248
"350","00000CONTR00158558","Tracker","Owner Occupied","No","No","Yes","90 to 100%","4",35,-1,0.917878112,0.357973567956902,-0.818771112484942,-0.234303169073918,-0.442632110327716,53.5137258,-6.4118865,"No","Meath","0",NA
"357","00000CONTR00041406","Tracker","Owner Occupied","No","No","Yes","70 to 80%","2",34,0,0.77,-0.40610085726035,0.104878782013616,-0.74620543113582,-0.856431143552403,52.2451581,-7.0834215,"No","Waterford","0",NA
"359","00000CONTR00224313","Tracker","Owner Occupied","No","No","Yes","70 to 80%","3",31,-1,0.74,0.216478304609255,0.183122686726914,0.0818393821195396,0.106862202348641,52.8506429,-6.2036366,"Yes","Wicklow","< 90 days",0.540158826233447
"363","00000CONTR00156242","Variable","Buy to Let","No","No","Yes","40 to 50%","3",32,-2,0.447171388,-0.986231439134095,-0.461702467133932,-0.824699982879244,-0.845413920395268,51.773774,-8.4952528,"No","Cork","0",NA
"369","00000CONTR00020051","Variable","Owner Occupied","No","No","Yes","60 to 70%","3",29,0,0.62,1.24356745559983,-0.0470421050186185,2.04628431949991,2.37031895869355,54.1302205,-8.3956387,"No","Sligo","0",0.600187246773365
"370","00000CONTR00026281","Variable","Owner Occupied","No","No","Yes","60 to 70%","2",35,0,0.69,0.316773476706479,0.300215740633518,0.384903203566798,0.106067476117554,51.7644027,-8.6539456,"No","Cork","0",0.974712102753709
"371","00000CONTR00030559","Variable","Owner Occupied","No","No","Yes","70 to 80%","3",28,-1,0.75,0.77913005941616,0.0243716239231902,0.733568059630588,1.0812759798174,53.3181101,-6.2346523,"No","Dublin","0",0.566807320593949
"380","00000CONTR00072665","Tracker","Owner Occupied","No","No","Yes","70 to 80%","2",28,0,0.79,1.0887549896544,1.1143706461344,0.938187087635415,1.30792573147546,53.3510199,-6.277194,"No","Dublin","0",0.958337543233729
"385","00000CONTR00076942","Tracker","Owner Occupied","No","No","Yes","10 to 20%","3",35,0,0.164747353,-1.39157375397518,-0.902592320227501,-0.580873765612842,-0.749739970227182,52.466167,-7.691463,"No","Tipperary","0",NA
"389","00000CONTR00011742","Tracker","Owner Occupied","No","No","Yes","60 to 70%","3",34,0,0.64,0.595186216403176,0.718927730546586,0.988750020171797,0.726188936311218,54.8323982,-7.4819487,"No","Donegal","0",0.600339596499527
"393","00000CONTR00015637","Variable","Owner Occupied","No","Yes","Yes","60 to 70%","4",29,1,0.63,0.599347841698541,0.778035019049648,1.04655264610114,1.30113431048339,53.3612848,-6.2922051,"No","Dublin","0",0.402780031750434
"399","00000CONTR00204501","Tracker","Owner Occupied","Yes","No","Yes","90 to 100%","3",35,0,0.917878112,1.27935743313997,1.12251431704903,0.679779731973313,0.367367483184473,53.3028558,-8.7425653,"No","Galway","0",0.505005699665913
"405","00000CONTR00233667","Tracker","Buy to Let","No","No","Yes","40 to 50%","4",28,0,0.447171388,-1.03284164376428,-0.504704282583292,-0.919615451563575,-0.749900890962563,51.8836831,-8.6038471,"No","Cork","0",NA
"408","00000CONTR00149685","Tracker","Owner Occupied","No","No","Yes","60 to 70%","2",29,0,0.6,0.00839703323054091,-0.538289346973016,0.315701874270688,0.519510153985779,53.3433653,-6.2279794,"No","Dublin","0",0.972076328059625
